num_partido;año;Generación;Rival;Condición;Tipo;Competencia;Goles Chile;Goles Rival;Dif. Goles;Resultado;Ciudad
410;1990;Generación 1990-1997;Brasil;Local;Oficial;Copa Expedito Teixeira;0;0;0;Empate;Santiago
411;1990;Generación 1990-1997;Brasil;Visita;Oficial;Copa Expedito Teixeira;0;0;0;Empate;Belém
412;1991;Generación 1990-1997;México;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Veracruz
413;1991;Generación 1990-1997;República de Irlanda;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Dublín
414;1991;Generación 1990-1997;Uruguay;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Santiago
415;1991;Generación 1990-1997;Ecuador;Visita;Amistoso;Partido amistoso;1;2;-1;Derrota;Guayaquil
416;1991;Generación 1990-1997;Uruguay;Visita;Amistoso;Partido amistoso;1;2;-1;Derrota;Montevideo
417;1991;Generación 1990-1997;Ecuador;Local;Amistoso;Partido amistoso;3;1;2;Victoria;Santiago
418;1991;Generación 1990-1997;Venezuela;Local;Oficial;Copa América 1991;2;0;2;Victoria;Santiago
419;1991;Generación 1990-1997;Perú;Local;Oficial;Copa América 1991;4;2;2;Victoria;Concepción
420;1991;Generación 1990-1997;Argentina;Local;Oficial;Copa América 1991;0;1;-1;Derrota;Santiago
421;1991;Generación 1990-1997;Paraguay;Local;Oficial;Copa América 1991;4;0;4;Victoria;Santiago
422;1991;Generación 1990-1997;Colombia;Local;Oficial;Copa América 1991;1;1;0;Empate;Santiago
423;1991;Generación 1990-1997;Argentina;Local;Oficial;Copa América 1991;0;0;0;Empate;Santiago
424;1991;Generación 1990-1997;Brasil;Local;Oficial;Copa América 1991;0;2;-2;Derrota;Santiago
425;1993;Generación 1990-1997;Bolivia;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Arica
426;1993;Generación 1990-1997;Colombia;Local;Amistoso;Partido amistoso;1;1;0;Empate;Santiago
427;1993;Generación 1990-1997;Colombia;Visita;Amistoso;Partido amistoso;0;1;-1;Derrota;Bogotá
428;1993;Generación 1990-1997;Ecuador;Visita;Amistoso;Partido amistoso;2;1;1;Victoria;Quito
429;1993;Generación 1990-1997;Bolivia;Visita;Amistoso;Partido amistoso;3;1;2;Victoria;La Paz
430;1993;Generación 1990-1997;Paraguay;Visita;Oficial;Copa América 1993;0;1;-1;Derrota;Cuenca
431;1993;Generación 1990-1997;Brasil;Visita;Oficial;Copa América 1993;3;2;1;Victoria;Cuenca
432;1993;Generación 1990-1997;Perú;Local;Oficial;Copa América 1993;0;1;-1;Derrota;Cuenca
433;1993;Generación 1990-1997;España;Visita;Amistoso;Partido amistoso;0;2;-2;Derrota;Alicante
434;1994;Generación 1990-1997;Francia;Visita;Amistoso;Partido amistoso;1;3;-2;Derrota;Lyon
435;1994;Generación 1990-1997;Arabia Saudita;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;Riad
436;1994;Generación 1990-1997;Arabia Saudita;Visita;Amistoso;Partido amistoso;2;2;0;Empate;Riad
437;1994;Generación 1990-1997;Estados Unidos;Visita;Amistoso;Partido amistoso;2;0;2;Victoria;Albuquerque
438;1994;Generación 1990-1997;Argentina;Local;Amistoso;Partido amistoso;3;3;0;Empate;Santiago
439;1994;Generación 1990-1997;Perú;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Santiago
440;1994;Generación 1990-1997;Bolivia;Local;Amistoso;Partido amistoso;1;2;-1;Derrota;Santiago
441;1994;Generación 1990-1997;Argentina;Local;Amistoso;Partido amistoso;0;3;-3;Derrota;Santiago
442;1995;Generación 1990-1997;México;Visita;Amistoso;Partido amistoso;2;1;1;Victoria;Los Ángeles
443;1995;Generación 1990-1997;Perú;Visita;Amistoso;Partido amistoso;0;6;-6;Derrota;Lima
444;1995;Generación 1990-1997;Islandia;Local;Amistoso;Partido amistoso;1;1;0;Empate;Temuco
445;1995;Generación 1990-1997;Irlanda del Norte;Local;Oficial;1995 Canada Cup;2;1;1;Victoria;Edmonton
446;1995;Generación 1990-1997;Canadá;Visita;Oficial;1995 Canada Cup;2;1;1;Victoria;Edmonton
447;1995;Generación 1990-1997;Nueva Zelanda;Local;Oficial;Copa Centenario del Fútbol Chileno;3;1;2;Victoria;Antofagasta
448;1995;Generación 1990-1997;Paraguay;Local;Oficial;Copa Centenario del Fútbol Chileno;0;1;-1;Derrota;La Serena
449;1995;Generación 1990-1997;Turquía;Local;Oficial;Copa Centenario del Fútbol Chileno;0;0;0;Empate;Santiago
450;1995;Generación 1990-1997;Estados Unidos;Visita;Oficial;Copa América 1995;1;2;-1;Derrota;Paysandú
451;1995;Generación 1990-1997;Argentina;Visita;Oficial;Copa América 1995;0;4;-4;Derrota;Paysandú
452;1995;Generación 1990-1997;Bolivia;Local;Oficial;Copa América 1995;2;2;0;Empate;Paysandú
453;1995;Generación 1990-1997;Canadá;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Concepción
454;1996;Generación 1990-1997;Bolivia;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Cochabamba
455;1996;Generación 1990-1997;México;Local;Amistoso;Partido amistoso;2;1;1;Victoria;Viña del Mar
456;1996;Generación 1990-1997;Perú;Local;Amistoso;Partido amistoso;4;0;4;Victoria;Coquimbo
457;1996;Generación 1990-1997;Australia;Local;Amistoso;Partido amistoso;3;0;3;Victoria;Antofagasta
458;1996;Generación 1990-1997;Bolivia;Local;Amistoso;Partido amistoso;2;0;2;Victoria;Santiago
459;1996;Generación 1990-1997;Venezuela;Visita;Oficial;Clasificatorias Francia 1998;1;1;0;Empate;Barinas
460;1996;Generación 1990-1997;Ecuador;Local;Oficial;Clasificatorias Francia 1998;4;1;3;Victoria;Santiago
461;1996;Generación 1990-1997;Costa Rica;Visita;Amistoso;Partido amistoso;1;1;0;Empate;Liberia
462;1996;Generación 1990-1997;Colombia;Visita;Oficial;Clasificatorias Francia 1998;1;4;-3;Derrota;Barranquilla
463;1996;Generación 1990-1997;Paraguay;Visita;Oficial;Clasificatorias Francia 1998;1;2;-1;Derrota;Asunción
464;1996;Generación 1990-1997;Uruguay;Local;Oficial;Clasificatorias Francia 1998;1;0;1;Victoria;Santiago
465;1996;Generación 1990-1997;Argentina;Visita;Oficial;Clasificatorias Francia 1998;1;1;0;Empate;Buenos Aires
466;1997;Generación 1990-1997;Armenia;Local;Amistoso;Partido amistoso;7;0;7;Victoria;Viña del Mar
467;1997;Generación 1990-1997;Perú;Visita;Oficial;Clasificatorias Francia 1998;1;2;-1;Derrota;Lima
468;1997;Generación 1990-1997;Bolivia;Visita;Oficial;Clasificatorias Francia 1998;1;1;0;Empate;La Paz
469;1997;Generación 1990-1997;Brasil;Visita;Amistoso;Partido amistoso;0;4;-4;Derrota;Brasilia
470;1997;Generación 1990-1997;Venezuela;Local;Oficial;Clasificatorias Francia 1998;6;0;6;Victoria;Santiago
471;1997;Generación 1990-1997;Ecuador;Visita;Oficial;Clasificatorias Francia 1998;1;1;0;Empate;Quito
472;1997;Generación 1990-1997;Paraguay;Local;Oficial;Copa América 1997;0;1;-1;Derrota;Cochabamba
473;1997;Generación 1990-1997;Argentina;Visita;Oficial;Copa América 1997;0;2;-2;Derrota;Cochabamba
474;1997;Generación 1990-1997;Ecuador;Local;Oficial;Copa América 1997;1;2;-1;Derrota;Cochabamba
475;1997;Generación 1990-1997;Colombia;Local;Oficial;Clasificatorias Francia 1998;4;1;3;Victoria;Santiago
476;1997;Generación 1990-1997;Paraguay;Local;Oficial;Clasificatorias Francia 1998;2;1;1;Victoria;Santiago
